,FREQUENCY,GAMMA
35688,24676.6,-4.503937e-08
35689,24676.675,-5.013462e-09
35690,24676.75,1.250896e-08
35691,24676.825,1.617103e-08
35692,24676.9,3.419102e-08
35693,24676.975,-8.504183e-08
35694,24677.05,-6.527033e-09
35695,24677.125,-2.626249e-08
35696,24677.2,-4.128572e-08
35697,24677.275,-4.678222e-08
35698,24677.35,-4.67308e-08
35699,24677.425,-3.025212e-08
35700,24677.5,-3.792674e-08
35701,24677.575,-1.650759e-08
35702,24677.65,4.046264e-08
35703,24677.725,2.602754e-09
35704,24677.8,-2.863019e-08
35705,24677.875,2.017486e-08
35706,24677.95,1.229525e-07
35707,24678.025,1.422975e-07
35708,24678.1,1.90634e-07
35709,24678.175,1.699387e-07
35710,24678.25,1.414891e-07
35711,24678.325,9.07456e-08
35712,24678.4,5.175035e-08
35713,24678.475,3.472097e-08
35714,24678.55,-2.892613e-08
35715,24678.625,-4.024214e-08
35716,24678.7,-2.727533e-08
35717,24678.775,-4.84794e-08
35718,24678.85,-7.381081e-08
35719,24678.925,9.714523e-09
35720,24679.0,-5.323936e-08
35721,24679.075,-8.232256e-09
35722,24679.15,2.118626e-08
35723,24679.225,-4.397845e-08
35724,24679.3,-6.454843e-08
35725,24679.375,3.126589e-08
35726,24679.45,-3.915744e-08
35727,24679.525,2.701856e-09
