,FREQUENCY,GAMMA
242,22018.15,2.24068e-07
243,22018.225,2.148785e-07
244,22018.3,1.952773e-07
245,22018.375,1.618289e-07
246,22018.45,1.801197e-07
247,22018.525,1.948606e-07
248,22018.6,1.820451e-07
249,22018.675,1.465929e-07
250,22018.75,9.188661e-08
251,22018.825,1.39019e-07
252,22018.9,1.148981e-07
253,22018.975,1.436584e-07
254,22019.05,1.858091e-07
255,22019.125,1.867162e-07
256,22019.2,1.960981e-07
257,22019.275,2.478834e-07
258,22019.35,3.136813e-07
259,22019.425,3.572341e-07
260,22019.5,4.0003e-07
261,22019.575,4.384575e-07
262,22019.65,4.747549e-07
263,22019.725,4.729832e-07
264,22019.8,3.997294e-07
265,22019.875,3.9166e-07
266,22019.95,3.724299e-07
267,22020.025,2.925404e-07
268,22020.1,2.641414e-07
269,22020.175,1.817567e-07
270,22020.25,1.724315e-07
271,22020.325,1.578033e-07
272,22020.4,1.425775e-07
273,22020.475,1.222218e-07
274,22020.55,1.377316e-07
275,22020.625,1.550765e-07
276,22020.7,1.046085e-07
277,22020.775,1.316082e-07
278,22020.85,1.549025e-07
279,22020.925,1.768963e-07
280,22021.0,1.35122e-07
281,22021.075,1.778726e-07
