,FREQUENCY,GAMMA
35236,24642.7,4.112057e-08
35237,24642.775,3.762359e-08
35238,24642.85,5.976425e-08
35239,24642.925,2.711683e-09
35240,24643.0,-1.881875e-08
35241,24643.075,2.696127e-09
35242,24643.15,-1.724499e-08
35243,24643.225,-3.913711e-09
35244,24643.3,-5.512061e-08
35245,24643.375,6.179311e-09
35246,24643.45,-4.291961e-08
35247,24643.525,-6.866184e-08
35248,24643.6,3.418785e-08
35249,24643.675,-1.457438e-09
35250,24643.75,4.854241e-08
35251,24643.825,3.797139e-08
35252,24643.9,1.158228e-07
35253,24643.975,1.601924e-07
35254,24644.05,2.427682e-07
35255,24644.125,2.315573e-07
35256,24644.2,2.939365e-07
35257,24644.275,2.613094e-07
35258,24644.35,2.251698e-07
35259,24644.425,2.217584e-07
35260,24644.5,9.685566e-08
35261,24644.575,-9.822214e-09
35262,24644.65,9.54464e-09
35263,24644.725,-1.854957e-08
35264,24644.8,-1.360254e-08
35265,24644.875,-3.13708e-08
35266,24644.95,-2.191435e-09
35267,24645.025,-6.275564e-08
35268,24645.1,-5.905682e-08
35269,24645.175,-3.059537e-09
35270,24645.25,1.958095e-08
35271,24645.325,1.171085e-08
35272,24645.4,1.816292e-08
35273,24645.475,-1.796214e-08
35274,24645.55,-1.140797e-08
35275,24645.625,-1.571358e-08
