,FREQUENCY,GAMMA
17727,23329.525,5.591516e-08
17728,23329.6,5.482134e-08
17729,23329.675,-1.204206e-08
17730,23329.75,3.770024e-08
17731,23329.825,1.716427e-08
17732,23329.9,1.186774e-08
17733,23329.975,2.92467e-08
17734,23330.05,4.061957e-09
17735,23330.125,-5.450852e-08
17736,23330.2,-5.234051e-08
17737,23330.275,-6.444043e-08
17738,23330.35,-5.652806e-08
17739,23330.425,-1.082722e-07
17740,23330.5,-3.850474e-08
17741,23330.575,-1.210166e-08
17742,23330.65,-6.54755e-10
17743,23330.725,3.073323e-08
17744,23330.8,1.240814e-07
17745,23330.875,1.800593e-07
17746,23330.95,2.530736e-07
17747,23331.025,2.484294e-07
17748,23331.1,2.367029e-07
17749,23331.175,2.531704e-07
17750,23331.25,2.175168e-07
17751,23331.325,1.062956e-07
17752,23331.4,7.758696e-08
17753,23331.475,-7.511192e-09
17754,23331.55,-4.499154e-08
17755,23331.625,-7.937847e-08
17756,23331.7,-1.07723e-07
17757,23331.775,-9.691435e-08
17758,23331.85,-1.031455e-07
17759,23331.925,-7.49443e-08
17760,23332.0,-6.871738e-08
17761,23332.075,-4.72799e-08
17762,23332.15,-5.481044e-08
17763,23332.225,-2.919746e-08
17764,23332.3,-1.792764e-09
17765,23332.375,-3.544538e-08
17766,23332.45,2.38376e-09
