,FREQUENCY,GAMMA
36380,24728.5,-2.012897e-09
36381,24728.575,3.005931e-09
36382,24728.65,-1.210608e-09
36383,24728.725,4.195015e-08
36384,24728.8,2.921715e-08
36385,24728.875,-1.327256e-08
36386,24728.95,4.957626e-08
36387,24729.025,3.701808e-08
36388,24729.1,-6.440819e-08
36389,24729.175,-2.720575e-08
36390,24729.25,-5.506771e-08
36391,24729.325,-9.576594e-08
36392,24729.4,-1.268141e-07
36393,24729.475,-1.043523e-07
36394,24729.55,-5.657592e-08
36395,24729.625,-2.926699e-08
36396,24729.7,2.12185e-08
36397,24729.775,4.522182e-08
36398,24729.85,6.269789e-08
36399,24729.925,1.129643e-07
36400,24730.0,1.246917e-07
36401,24730.075,9.544812e-08
36402,24730.15,9.496075e-08
36403,24730.225,3.561301e-08
36404,24730.3,1.561307e-08
36405,24730.375,-1.725129e-08
36406,24730.45,-2.267915e-08
36407,24730.525,-5.155205e-08
36408,24730.6,-6.871657e-08
36409,24730.675,-1.281379e-07
36410,24730.75,-9.475414e-08
36411,24730.825,-7.062134e-08
36412,24730.9,-8.280749e-08
36413,24730.975,-6.761472e-08
36414,24731.05,-9.95241e-08
36415,24731.125,-7.957472e-08
36416,24731.2,-8.891678e-08
36417,24731.275,-5.774674e-08
36418,24731.35,-7.518096e-08
36419,24731.425,-6.164384e-08
