,FREQUENCY,GAMMA
21899,23642.425,7.206369e-08
21900,23642.5,1.065582e-07
21901,23642.575,7.694927e-08
21902,23642.65,4.481246e-08
21903,23642.725,8.546693e-08
21904,23642.8,6.513286e-08
21905,23642.875,5.42917e-08
21906,23642.95,8.901028e-08
21907,23643.025,9.24106e-08
21908,23643.1,7.479147e-08
21909,23643.175,3.528231e-08
21910,23643.25,7.752936e-08
21911,23643.325,9.343265e-08
21912,23643.4,8.948017e-08
21913,23643.475,1.039805e-07
21914,23643.55,1.480611e-07
21915,23643.625,1.741643e-07
21916,23643.7,2.071773e-07
21917,23643.775,2.471292e-07
21918,23643.85,3.068872e-07
21919,23643.925,3.117868e-07
21920,23644.0,2.993402e-07
21921,23644.075,2.263894e-07
21922,23644.15,2.577086e-07
21923,23644.225,1.844776e-07
21924,23644.3,1.170396e-07
21925,23644.375,1.169744e-07
21926,23644.45,7.923152e-08
21927,23644.525,8.036597e-08
21928,23644.6,9.01561e-08
21929,23644.675,6.270912e-08
21930,23644.75,5.575549e-08
21931,23644.825,7.481216e-08
21932,23644.9,1.022878e-07
21933,23644.975,1.147721e-07
21934,23645.05,1.218972e-07
21935,23645.125,1.29875e-07
21936,23645.2,1.366313e-07
21937,23645.275,1.27463e-07
21938,23645.35,1.657242e-07
