,FREQUENCY,GAMMA
7832,22587.4,2.813954e-07
7833,22587.475,3.048894e-07
7834,22587.55,2.389355e-07
7835,22587.625,2.612655e-07
7836,22587.7,2.709812e-07
7837,22587.775,2.737986e-07
7838,22587.85,2.408689e-07
7839,22587.925,2.841487e-07
7840,22588.0,2.451408e-07
7841,22588.075,2.298535e-07
7842,22588.15,2.518039e-07
7843,22588.225,2.620881e-07
7844,22588.3,1.913821e-07
7845,22588.375,2.748608e-07
7846,22588.45,2.955169e-07
7847,22588.525,3.061685e-07
7848,22588.6,3.664174e-07
7849,22588.675,3.88736e-07
7850,22588.75,4.32359e-07
7851,22588.825,4.448032e-07
7852,22588.9,4.747208e-07
7853,22588.975,4.323756e-07
7854,22589.05,3.935419e-07
7855,22589.125,4.058685e-07
7856,22589.2,3.327673e-07
7857,22589.275,2.805555e-07
7858,22589.35,2.863579e-07
7859,22589.425,2.50503e-07
7860,22589.5,2.673862e-07
7861,22589.575,2.198774e-07
7862,22589.65,2.267999e-07
7863,22589.725,2.509889e-07
7864,22589.8,2.697259e-07
7865,22589.875,2.539075e-07
7866,22589.95,2.174271e-07
7867,22590.025,2.344027e-07
7868,22590.1,2.309955e-07
7869,22590.175,2.636702e-07
7870,22590.25,2.55626e-07
7871,22590.325,2.669107e-07
