,FREQUENCY,GAMMA
35412,24655.9,7.114914e-08
35413,24655.975,6.002733e-08
35414,24656.05,8.025863e-08
35415,24656.125,2.596617e-08
35416,24656.2,7.399408e-08
35417,24656.275,3.541276e-08
35418,24656.35,4.422081e-08
35419,24656.425,7.975992e-09
35420,24656.5,2.39846e-08
35421,24656.575,3.826184e-08
35422,24656.65,3.774162e-08
35423,24656.725,3.360024e-08
35424,24656.8,9.045126e-08
35425,24656.875,1.079544e-07
35426,24656.95,1.674311e-07
35427,24657.025,1.691394e-07
35428,24657.1,1.761921e-07
35429,24657.175,2.24641e-07
35430,24657.25,2.491254e-07
35431,24657.325,2.453085e-07
35432,24657.4,2.698963e-07
35433,24657.475,1.841043e-07
35434,24657.55,1.187306e-07
35435,24657.625,9.059565e-08
35436,24657.7,3.684201e-08
35437,24657.775,2.676107e-08
35438,24657.85,-1.645151e-08
35439,24657.925,-2.686093e-08
35440,24658.0,8.705405e-11
35441,24658.075,1.348146e-08
35442,24658.15,-4.479069e-08
35443,24658.225,-3.86705e-08
35444,24658.3,-2.190145e-08
35445,24658.375,-1.058548e-08
35446,24658.45,1.233273e-08
35447,24658.525,1.295217e-08
35448,24658.6,3.319175e-08
35449,24658.675,6.145957e-08
35450,24658.75,4.738584e-08
35451,24658.825,1.679228e-07
