,FREQUENCY,GAMMA
13905,23042.875,1.153816e-07
13906,23042.95,5.904223e-08
13907,23043.025,8.65663e-08
13908,23043.1,1.261849e-07
13909,23043.175,8.151541e-08
13910,23043.25,6.524676e-08
13911,23043.325,5.537559e-08
13912,23043.4,3.891202e-08
13913,23043.475,6.172347e-08
13914,23043.55,5.042166e-08
13915,23043.625,2.348223e-08
13916,23043.7,7.090824e-08
13917,23043.775,7.663681e-08
13918,23043.85,7.561018e-08
13919,23043.925,9.678445e-08
13920,23044.0,1.209464e-07
13921,23044.075,1.978369e-07
13922,23044.15,2.316465e-07
13923,23044.225,2.982061e-07
13924,23044.3,3.629512e-07
13925,23044.375,3.644278e-07
13926,23044.45,3.352e-07
13927,23044.525,3.099798e-07
13928,23044.6,2.663725e-07
13929,23044.675,1.933493e-07
13930,23044.75,1.439045e-07
13931,23044.825,7.159973e-08
13932,23044.9,6.500248e-08
13933,23044.975,-1.250413e-08
13934,23045.05,3.514802e-10
13935,23045.125,1.579264e-08
13936,23045.2,1.049452e-08
13937,23045.275,-2.53751e-08
13938,23045.35,-9.533018e-09
13939,23045.425,2.244357e-08
13940,23045.5,7.024376e-08
13941,23045.575,5.697675e-08
13942,23045.65,4.803205e-08
13943,23045.725,7.920968e-08
13944,23045.8,9.43841e-08
