,FREQUENCY,GAMMA
8868,22665.1,1.851813e-07
8869,22665.175,1.778649e-07
8870,22665.25,1.568715e-07
8871,22665.325,1.555837e-07
8872,22665.4,1.326628e-07
8873,22665.475,1.541475e-07
8874,22665.55,1.316057e-07
8875,22665.625,1.485161e-07
8876,22665.7,1.047212e-07
8877,22665.775,1.104147e-07
8878,22665.85,1.345964e-07
8879,22665.925,1.468996e-07
8880,22666.0,1.36509e-07
8881,22666.075,1.084431e-07
8882,22666.15,1.400724e-07
8883,22666.225,2.191538e-07
8884,22666.3,2.381105e-07
8885,22666.375,2.727006e-07
8886,22666.45,3.910993e-07
8887,22666.525,3.662048e-07
8888,22666.6,3.924851e-07
8889,22666.675,4.158688e-07
8890,22666.75,4.101455e-07
8891,22666.825,3.142855e-07
8892,22666.9,2.919238e-07
8893,22666.975,2.39612e-07
8894,22667.05,2.099774e-07
8895,22667.125,1.863418e-07
8896,22667.2,1.527519e-07
8897,22667.275,1.975957e-07
8898,22667.35,2.25765e-07
8899,22667.425,2.30218e-07
8900,22667.5,2.137235e-07
8901,22667.575,2.447095e-07
8902,22667.65,2.968215e-07
8903,22667.725,3.057725e-07
8904,22667.8,3.361677e-07
8905,22667.875,3.851396e-07
8906,22667.95,4.175516e-07
8907,22668.025,4.40725e-07
