,FREQUENCY,GAMMA
39219,24941.425,4.408388e-08
39220,24941.5,-3.490346e-08
39221,24941.575,-2.11573e-08
39222,24941.65,1.582416e-08
39223,24941.725,1.543185e-08
39224,24941.8,-1.068739e-07
39225,24941.875,-1.156845e-07
39226,24941.95,-1.136138e-09
39227,24942.025,-8.762322e-08
39228,24942.1,-9.000238e-08
39229,24942.175,-1.45231e-07
39230,24942.25,-1.641654e-07
39231,24942.325,-6.96478e-08
39232,24942.4,-8.101713e-08
39233,24942.475,-5.810223e-08
39234,24942.55,-7.197326e-09
39235,24942.625,-1.147348e-08
39236,24942.7,9.06936e-08
39237,24942.775,9.54616e-08
39238,24942.85,1.115376e-07
39239,24942.925,1.866447e-07
39240,24943.0,1.656835e-07
39241,24943.075,1.168173e-07
39242,24943.15,1.316761e-07
39243,24943.225,6.949821e-09
39244,24943.3,-8.214492e-08
39245,24943.375,-5.460251e-08
39246,24943.45,-1.337082e-07
39247,24943.525,-1.056369e-07
39248,24943.6,-1.29118e-07
39249,24943.675,-6.89565e-08
39250,24943.75,-1.794795e-07
39251,24943.825,-1.765318e-07
39252,24943.9,-1.131549e-07
39253,24943.975,-3.639155e-08
39254,24944.05,-1.183899e-07
39255,24944.125,-1.034446e-07
39256,24944.2,-5.405154e-08
39257,24944.275,-1.517298e-08
39258,24944.35,-8.225459e-08
