,FREQUENCY,GAMMA
35928,24694.6,3.631504e-08
35929,24694.675,-8.419527e-09
35930,24694.75,1.406876e-08
35931,24694.825,-6.899875e-09
35932,24694.9,2.929975e-08
35933,24694.975,-4.168837e-09
35934,24695.05,2.801334e-08
35935,24695.125,1.637682e-08
35936,24695.2,-6.059902e-09
35937,24695.275,-2.838845e-08
35938,24695.35,-6.648446e-08
35939,24695.425,-1.242762e-08
35940,24695.5,-1.327895e-08
35941,24695.575,-7.033637e-08
35942,24695.65,8.934464e-09
35943,24695.725,4.016388e-09
35944,24695.8,6.059701e-08
35945,24695.875,3.297156e-08
35946,24695.95,1.00627e-07
35947,24696.025,1.861714e-07
35948,24696.1,1.994962e-07
35949,24696.175,2.51634e-07
35950,24696.25,2.138106e-07
35951,24696.325,1.984601e-07
35952,24696.4,1.761173e-07
35953,24696.475,8.805537e-08
35954,24696.55,6.676721e-08
35955,24696.625,-4.662086e-09
35956,24696.7,-3.242794e-08
35957,24696.775,6.127258e-09
35958,24696.85,-6.523736e-08
35959,24696.925,-7.893139e-09
35960,24697.0,-3.674136e-08
35961,24697.075,-1.294844e-08
35962,24697.15,-4.942166e-08
35963,24697.225,-1.808933e-08
35964,24697.3,-5.790112e-08
35965,24697.375,-2.106216e-08
35966,24697.45,-3.517303e-08
35967,24697.525,-2.640843e-08
