,FREQUENCY,GAMMA
35639,24672.925,-1.200937e-08
35640,24673.0,-2.680549e-08
35641,24673.075,-5.100837e-08
35642,24673.15,-3.08702e-08
35643,24673.225,-1.9434e-08
35644,24673.3,-2.07084e-08
35645,24673.375,-3.63199e-08
35646,24673.45,-4.054959e-08
35647,24673.525,-7.924808e-08
35648,24673.6,-3.188808e-08
35649,24673.675,-3.489573e-08
35650,24673.75,-4.685046e-08
35651,24673.825,-5.457148e-08
35652,24673.9,-1.746936e-08
35653,24673.975,2.656915e-08
35654,24674.05,-7.307021e-08
35655,24674.125,-4.255322e-09
35656,24674.2,7.792513e-08
35657,24674.275,1.175051e-07
35658,24674.35,1.465171e-07
35659,24674.425,2.677528e-07
35660,24674.5,2.278108e-07
35661,24674.575,2.244811e-07
35662,24674.65,1.335981e-07
35663,24674.725,8.581737e-08
35664,24674.8,-5.112518e-08
35665,24674.875,-5.896828e-08
35666,24674.95,-9.605261e-08
35667,24675.025,-4.108903e-08
35668,24675.1,-3.840461e-08
35669,24675.175,-1.178477e-07
35670,24675.25,-1.154643e-07
35671,24675.325,-1.156559e-07
35672,24675.4,-3.487527e-08
35673,24675.475,-4.624954e-08
35674,24675.55,-5.033144e-08
35675,24675.625,-6.593289e-08
35676,24675.7,4.409933e-09
35677,24675.775,2.890198e-08
35678,24675.85,-2.50157e-08
