,FREQUENCY,GAMMA
34720,24604.0,-1.088102e-07
34721,24604.075,-1.289701e-07
34722,24604.15,-9.050267e-08
34723,24604.225,-1.733586e-07
34724,24604.3,-1.859017e-07
34725,24604.375,-2.161635e-07
34726,24604.45,-2.388819e-07
34727,24604.525,-2.858909e-07
34728,24604.6,-2.96537e-07
34729,24604.675,-2.749647e-07
34730,24604.75,-3.042083e-07
34731,24604.825,-2.68471e-07
34732,24604.9,-2.689738e-07
34733,24604.975,-2.189644e-07
34734,24605.05,-1.05269e-07
34735,24605.125,-2.745562e-08
34736,24605.2,1.637808e-07
34737,24605.275,2.789845e-07
34738,24605.35,3.816943e-07
34739,24605.425,4.43885e-07
34740,24605.5,4.563748e-07
34741,24605.575,4.106476e-07
34742,24605.65,3.102363e-07
34743,24605.725,1.911546e-07
34744,24605.8,3.842258e-08
34745,24605.875,-4.173198e-08
34746,24605.95,-1.417804e-07
34747,24606.025,-1.876522e-07
34748,24606.1,-2.67083e-07
34749,24606.175,-2.438875e-07
34750,24606.25,-2.671428e-07
34751,24606.325,-2.180682e-07
34752,24606.4,-2.271621e-07
34753,24606.475,-1.869601e-07
34754,24606.55,-1.24332e-07
34755,24606.625,-1.303081e-07
34756,24606.7,-6.621403e-08
34757,24606.775,-9.048657e-08
34758,24606.85,-7.433447e-08
34759,24606.925,-1.443125e-08
