,FREQUENCY,GAMMA
13423,23006.725,2.407682e-08
13424,23006.8,-1.720144e-08
13425,23006.875,-2.756351e-08
13426,23006.95,-2.805462e-08
13427,23007.025,-2.465194e-08
13428,23007.1,-6.852362e-08
13429,23007.175,-7.191811e-08
13430,23007.25,-9.303664e-08
13431,23007.325,-4.868301e-08
13432,23007.4,-5.628653e-08
13433,23007.475,-9.441737e-08
13434,23007.55,-1.019645e-07
13435,23007.625,-1.063224e-07
13436,23007.7,-1.092782e-07
13437,23007.775,-3.431443e-08
13438,23007.85,-1.584636e-08
13439,23007.925,5.044186e-08
13440,23008.0,6.864488e-08
13441,23008.075,1.471517e-07
13442,23008.15,1.970836e-07
13443,23008.225,2.487526e-07
13444,23008.3,2.006137e-07
13445,23008.375,1.823065e-07
13446,23008.45,1.862089e-07
13447,23008.525,9.703616e-08
13448,23008.6,8.418332e-08
13449,23008.675,-2.169666e-09
13450,23008.75,-1.861346e-08
13451,23008.825,-2.196663e-08
13452,23008.9,-5.104228e-08
13453,23008.975,-7.608194e-08
13454,23009.05,-7.472299e-08
13455,23009.125,-8.861629e-08
13456,23009.2,-4.773174e-08
13457,23009.275,-5.018956e-08
13458,23009.35,-2.954617e-08
13459,23009.425,-1.831114e-08
13460,23009.5,-1.161847e-08
13461,23009.575,2.489518e-08
13462,23009.65,1.135774e-08
