,FREQUENCY,GAMMA
31938,24395.35,2.884533e-08
31939,24395.425,4.949364e-08
31940,24395.5,1.374251e-08
31941,24395.575,1.654702e-08
31942,24395.65,3.138265e-09
31943,24395.725,4.080594e-08
31944,24395.8,-6.068142e-10
31945,24395.875,-4.718736e-08
31946,24395.95,-4.880068e-08
31947,24396.025,-8.282848e-08
31948,24396.1,-6.836228e-08
31949,24396.175,-8.397986e-08
31950,24396.25,-4.276347e-08
31951,24396.325,-1.654108e-08
31952,24396.4,-4.399111e-08
31953,24396.475,-2.396325e-08
31954,24396.55,4.028774e-08
31955,24396.625,1.060733e-07
31956,24396.7,1.802744e-07
31957,24396.775,2.499123e-07
31958,24396.85,2.86114e-07
31959,24396.925,2.51006e-07
31960,24397.0,2.305435e-07
31961,24397.075,1.984414e-07
31962,24397.15,1.55848e-07
31963,24397.225,1.011829e-07
31964,24397.3,7.533141e-08
31965,24397.375,1.369723e-08
31966,24397.45,-1.955512e-08
31967,24397.525,-2.914451e-08
31968,24397.6,1.519906e-09
31969,24397.675,-1.876569e-08
31970,24397.75,-4.259549e-08
31971,24397.825,-2.623021e-08
31972,24397.9,-5.74849e-08
31973,24397.975,2.48334e-09
31974,24398.05,-1.977569e-09
31975,24398.125,-6.274674e-09
31976,24398.2,1.180085e-08
31977,24398.275,3.837876e-08
