,FREQUENCY,GAMMA
32949,24471.175,2.599092e-07
32950,24471.25,2.731246e-07
32951,24471.325,2.567295e-07
32952,24471.4,2.803975e-07
32953,24471.475,2.573055e-07
32954,24471.55,2.857959e-07
32955,24471.625,2.36242e-07
32956,24471.7,2.417326e-07
32957,24471.775,2.202604e-07
32958,24471.85,2.015746e-07
32959,24471.925,2.310168e-07
32960,24472.0,2.332018e-07
32961,24472.075,2.601601e-07
32962,24472.15,2.983148e-07
32963,24472.225,3.339261e-07
32964,24472.3,3.753066e-07
32965,24472.375,4.167787e-07
32966,24472.45,5.424772e-07
32967,24472.525,6.099139e-07
32968,24472.6,6.553083e-07
32969,24472.675,6.489142e-07
32970,24472.75,6.18553e-07
32971,24472.825,5.358656e-07
32972,24472.9,4.908051e-07
32973,24472.975,4.044958e-07
32974,24473.05,3.296614e-07
32975,24473.125,2.7503e-07
32976,24473.2,2.796809e-07
32977,24473.275,2.986129e-07
32978,24473.35,2.635476e-07
32979,24473.425,2.990608e-07
32980,24473.5,2.701929e-07
32981,24473.575,3.064462e-07
32982,24473.65,2.798353e-07
32983,24473.725,2.537282e-07
32984,24473.8,3.262923e-07
32985,24473.875,3.401494e-07
32986,24473.95,3.215632e-07
32987,24474.025,3.511967e-07
32988,24474.1,3.064499e-07
