,FREQUENCY,GAMMA
13584,23018.8,6.014888e-08
13585,23018.875,-3.171501e-09
13586,23018.95,4.381978e-08
13587,23019.025,4.73648e-09
13588,23019.1,-6.616818e-09
13589,23019.175,-2.039018e-08
13590,23019.25,-5.372661e-08
13591,23019.325,-8.086272e-08
13592,23019.4,-7.94872e-08
13593,23019.475,-1.645425e-08
13594,23019.55,-8.483466e-08
13595,23019.625,-7.171206e-08
13596,23019.7,-2.711144e-08
13597,23019.775,2.737889e-08
13598,23019.85,9.035365e-08
13599,23019.925,1.289652e-07
13600,23020.0,2.180817e-07
13601,23020.075,3.351899e-07
13602,23020.15,3.777183e-07
13603,23020.225,4.206693e-07
13604,23020.3,3.95822e-07
13605,23020.375,3.381304e-07
13606,23020.45,2.793162e-07
13607,23020.525,2.271786e-07
13608,23020.6,9.692172e-08
13609,23020.675,7.023662e-08
13610,23020.75,-2.708441e-08
13611,23020.825,-3.46992e-09
13612,23020.9,-2.99467e-08
13613,23020.975,-5.645962e-08
13614,23021.05,-5.691348e-08
13615,23021.125,-6.202918e-08
13616,23021.2,-6.160119e-08
13617,23021.275,-1.745146e-08
13618,23021.35,-6.035442e-09
13619,23021.425,6.056885e-10
13620,23021.5,-5.039067e-09
13621,23021.575,2.553996e-08
13622,23021.65,7.359941e-08
13623,23021.725,3.368036e-08
