,FREQUENCY,GAMMA
31150,24336.25,5.943146e-07
31151,24336.325,5.668256e-07
31152,24336.4,4.968182e-07
31153,24336.475,5.323454e-07
31154,24336.55,5.208267e-07
31155,24336.625,4.835493e-07
31156,24336.7,5.042466e-07
31157,24336.775,4.869991e-07
31158,24336.85,5.335894e-07
31159,24336.925,5.094587e-07
31160,24337.0,4.743958e-07
31161,24337.075,5.123255e-07
31162,24337.15,4.642522e-07
31163,24337.225,5.191401e-07
31164,24337.3,5.334216e-07
31165,24337.375,5.938573e-07
31166,24337.45,6.028363e-07
31167,24337.525,6.104158e-07
31168,24337.6,6.473634e-07
31169,24337.675,6.91466e-07
31170,24337.75,6.47742e-07
31171,24337.825,6.603388e-07
31172,24337.9,6.470915e-07
31173,24337.975,6.41011e-07
31174,24338.05,6.362972e-07
31175,24338.125,5.59707e-07
31176,24338.2,5.539547e-07
31177,24338.275,5.319354e-07
31178,24338.35,4.683484e-07
31179,24338.425,4.614713e-07
31180,24338.5,5.076019e-07
31181,24338.575,4.961876e-07
31182,24338.65,4.78957e-07
31183,24338.725,5.332118e-07
31184,24338.8,4.83138e-07
31185,24338.875,4.743626e-07
31186,24338.95,4.429495e-07
31187,24339.025,4.993422e-07
31188,24339.1,4.974773e-07
31189,24339.175,4.754286e-07
