,FREQUENCY,GAMMA
18735,23405.125,5.113082e-07
18736,23405.2,4.690474e-07
18737,23405.275,5.1455e-07
18738,23405.35,4.934397e-07
18739,23405.425,4.771041e-07
18740,23405.5,4.066365e-07
18741,23405.575,3.939357e-07
18742,23405.65,4.127301e-07
18743,23405.725,3.9368e-07
18744,23405.8,3.688082e-07
18745,23405.875,3.259356e-07
18746,23405.95,3.314528e-07
18747,23406.025,3.374238e-07
18748,23406.1,3.645057e-07
18749,23406.175,2.965599e-07
18750,23406.25,3.926764e-07
18751,23406.325,3.624741e-07
18752,23406.4,4.092292e-07
18753,23406.475,4.757822e-07
18754,23406.55,5.733823e-07
18755,23406.625,5.160913e-07
18756,23406.7,5.46832e-07
18757,23406.775,5.266292e-07
18758,23406.85,4.6509e-07
18759,23406.925,4.752431e-07
18760,23407.0,3.687632e-07
18761,23407.075,3.881536e-07
18762,23407.15,3.5612e-07
18763,23407.225,3.11417e-07
18764,23407.3,3.634144e-07
18765,23407.375,3.708067e-07
18766,23407.45,4.442327e-07
18767,23407.525,4.831345e-07
18768,23407.6,5.000935e-07
18769,23407.675,5.045888e-07
18770,23407.75,5.263215e-07
18771,23407.825,5.661249e-07
18772,23407.9,5.931492e-07
18773,23407.975,5.657896e-07
18774,23408.05,5.819716e-07
