,FREQUENCY,GAMMA
35437,24657.775,2.676107e-08
35438,24657.85,-1.645151e-08
35439,24657.925,-2.686093e-08
35440,24658.0,8.705405e-11
35441,24658.075,1.348146e-08
35442,24658.15,-4.479069e-08
35443,24658.225,-3.86705e-08
35444,24658.3,-2.190145e-08
35445,24658.375,-1.058548e-08
35446,24658.45,1.233273e-08
35447,24658.525,1.295217e-08
35448,24658.6,3.319175e-08
35449,24658.675,6.145957e-08
35450,24658.75,4.738584e-08
35451,24658.825,1.679228e-07
35452,24658.9,2.257473e-07
35453,24658.975,1.846115e-07
35454,24659.05,2.610429e-07
35455,24659.125,2.807408e-07
35456,24659.2,3.397096e-07
35457,24659.275,3.271629e-07
35458,24659.35,2.571189e-07
35459,24659.425,2.199779e-07
35460,24659.5,2.204067e-07
35461,24659.575,1.62946e-07
35462,24659.65,7.860918e-08
35463,24659.725,5.496047e-08
35464,24659.8,7.402654e-08
35465,24659.875,5.878143e-08
35466,24659.95,2.092281e-08
35467,24660.025,1.665624e-08
35468,24660.1,1.381119e-08
35469,24660.175,9.771669e-09
35470,24660.25,8.399771e-08
35471,24660.325,1.126188e-07
35472,24660.4,6.784119e-08
35473,24660.475,6.17951e-08
35474,24660.55,6.204466e-08
35475,24660.625,1.080525e-07
35476,24660.7,1.010013e-07
