,FREQUENCY,GAMMA
1828,22137.1,7.599215e-08
1829,22137.175,6.704182e-08
1830,22137.25,1.262031e-07
1831,22137.325,1.420957e-07
1832,22137.4,1.856783e-07
1833,22137.475,2.215984e-07
1834,22137.55,2.365965e-07
1835,22137.625,2.923052e-07
1836,22137.7,3.621473e-07
1837,22137.775,3.442165e-07
1838,22137.85,3.812189e-07
1839,22137.925,4.15728e-07
1840,22138.0,4.223917e-07
1841,22138.075,4.668387e-07
1842,22138.15,4.640765e-07
1843,22138.225,4.952196e-07
1844,22138.3,4.681495e-07
1845,22138.375,5.177234e-07
1846,22138.45,5.194151e-07
1847,22138.525,5.296309e-07
1848,22138.6,4.760013e-07
1849,22138.675,4.805723e-07
1850,22138.75,4.496202e-07
1851,22138.825,4.539362e-07
1852,22138.9,3.904453e-07
1853,22138.975,3.752197e-07
1854,22139.05,3.005205e-07
1855,22139.125,2.777002e-07
1856,22139.2,1.716874e-07
1857,22139.275,1.398636e-07
1858,22139.35,9.839346e-08
1859,22139.425,4.238354e-08
1860,22139.5,-8.695144e-08
1861,22139.575,-1.19755e-07
1862,22139.65,-1.575905e-07
1863,22139.725,-1.308223e-07
1864,22139.8,-1.881924e-07
1865,22139.875,-2.263666e-07
1866,22139.95,-1.507794e-07
1867,22140.025,-1.570959e-07
