,FREQUENCY,GAMMA
413,22030.975,3.744781e-07
414,22031.05,3.765544e-07
415,22031.125,4.194763e-07
416,22031.2,3.581937e-07
417,22031.275,3.931946e-07
418,22031.35,3.47368e-07
419,22031.425,3.41085e-07
420,22031.5,3.808055e-07
421,22031.575,3.476714e-07
422,22031.65,3.904822e-07
423,22031.725,3.524336e-07
424,22031.8,3.580271e-07
425,22031.875,3.489906e-07
426,22031.95,3.814823e-07
427,22032.025,3.713931e-07
428,22032.1,3.713608e-07
429,22032.175,3.779082e-07
430,22032.25,3.577636e-07
431,22032.325,3.412771e-07
432,22032.4,3.481959e-07
433,22032.475,3.273047e-07
434,22032.55,3.531169e-07
435,22032.625,3.463109e-07
436,22032.7,3.456702e-07
437,22032.775,3.115728e-07
438,22032.85,3.5496e-07
439,22032.925,3.609048e-07
440,22033.0,3.274013e-07
441,22033.075,3.312664e-07
442,22033.15,3.134722e-07
443,22033.225,3.394655e-07
444,22033.3,3.413986e-07
445,22033.375,3.137357e-07
446,22033.45,3.165871e-07
447,22033.525,3.405427e-07
448,22033.6,3.149177e-07
449,22033.675,3.268903e-07
450,22033.75,3.296907e-07
451,22033.825,3.238385e-07
452,22033.9,3.07505e-07
