,FREQUENCY,GAMMA
1803,22135.225,4.228211e-07
1804,22135.3,4.864377e-07
1805,22135.375,4.428384e-07
1806,22135.45,4.68917e-07
1807,22135.525,4.704494e-07
1808,22135.6,4.705687e-07
1809,22135.675,4.734575e-07
1810,22135.75,4.411911e-07
1811,22135.825,4.1577e-07
1812,22135.9,4.2842e-07
1813,22135.975,4.103241e-07
1814,22136.05,3.445958e-07
1815,22136.125,3.272026e-07
1816,22136.2,2.617497e-07
1817,22136.275,2.281951e-07
1818,22136.35,1.43436e-07
1819,22136.425,1.64145e-07
1820,22136.5,1.032757e-07
1821,22136.575,6.585694e-08
1822,22136.65,8.268191e-08
1823,22136.725,3.592894e-08
1824,22136.8,7.422839e-08
1825,22136.875,1.368279e-08
1826,22136.95,1.819092e-08
1827,22137.025,4.016285e-08
1828,22137.1,7.599215e-08
1829,22137.175,6.704182e-08
1830,22137.25,1.262031e-07
1831,22137.325,1.420957e-07
1832,22137.4,1.856783e-07
1833,22137.475,2.215984e-07
1834,22137.55,2.365965e-07
1835,22137.625,2.923052e-07
1836,22137.7,3.621473e-07
1837,22137.775,3.442165e-07
1838,22137.85,3.812189e-07
1839,22137.925,4.15728e-07
1840,22138.0,4.223917e-07
1841,22138.075,4.668387e-07
1842,22138.15,4.640765e-07
