,FREQUENCY,GAMMA
1179,22088.425,6.541109e-07
1180,22088.5,6.25314e-07
1181,22088.575,6.506212e-07
1182,22088.65,6.481559e-07
1183,22088.725,6.701394e-07
1184,22088.8,6.55186e-07
1185,22088.875,6.389441e-07
1186,22088.95,6.544226e-07
1187,22089.025,6.650675e-07
1188,22089.1,7.033305e-07
1189,22089.175,6.915423e-07
1190,22089.25,6.967468e-07
1191,22089.325,6.646871e-07
1192,22089.4,6.55447e-07
1193,22089.475,7.052005e-07
1194,22089.55,7.118958e-07
1195,22089.625,7.420945e-07
1196,22089.7,6.794531e-07
1197,22089.775,7.215129e-07
1198,22089.85,7.047591e-07
1199,22089.925,7.350107e-07
1200,22090.0,7.220152e-07
1201,22090.075,7.592576e-07
1202,22090.15,7.531075e-07
1203,22090.225,7.002966e-07
1204,22090.3,7.302497e-07
1205,22090.375,7.276736e-07
1206,22090.45,7.438731e-07
1207,22090.525,7.684875e-07
1208,22090.6,7.816275e-07
1209,22090.675,7.741472e-07
1210,22090.75,7.759737e-07
1211,22090.825,7.800465e-07
1212,22090.9,8.109738e-07
1213,22090.975,8.157561e-07
1214,22091.05,8.057211e-07
1215,22091.125,8.123413e-07
1216,22091.2,8.446824e-07
1217,22091.275,8.339901e-07
1218,22091.35,8.880065e-07
