,FREQUENCY,GAMMA
142,22010.65,1.373034e-07
143,22010.725,8.64745e-08
144,22010.8,1.263474e-07
145,22010.875,1.352066e-07
146,22010.95,1.066503e-07
147,22011.025,1.509807e-07
148,22011.1,1.779517e-07
149,22011.175,1.832083e-07
150,22011.25,2.18335e-07
151,22011.325,2.32624e-07
152,22011.4,2.453437e-07
153,22011.475,2.534961e-07
154,22011.55,3.000214e-07
155,22011.625,2.909327e-07
156,22011.7,2.981097e-07
157,22011.775,2.949806e-07
158,22011.85,3.045028e-07
159,22011.925,2.678874e-07
160,22012.0,2.751333e-07
161,22012.075,3.158387e-07
162,22012.15,2.649649e-07
163,22012.225,3.24245e-07
164,22012.3,2.780101e-07
165,22012.375,2.850924e-07
166,22012.45,2.398056e-07
167,22012.525,1.980834e-07
168,22012.6,2.223138e-07
169,22012.675,2.092914e-07
170,22012.75,2.342789e-07
171,22012.825,1.636272e-07
172,22012.9,1.905818e-07
173,22012.975,1.891088e-07
174,22013.05,2.013595e-07
175,22013.125,1.782175e-07
176,22013.2,1.639133e-07
177,22013.275,1.664677e-07
178,22013.35,1.476034e-07
179,22013.425,1.644841e-07
180,22013.5,1.254297e-07
181,22013.575,1.171764e-07
