,FREQUENCY,GAMMA
604,22045.3,5.139079e-08
605,22045.375,8.546474e-08
606,22045.45,7.959829e-08
607,22045.525,1.254762e-07
608,22045.6,6.491785e-08
609,22045.675,1.078105e-07
610,22045.75,1.432947e-07
611,22045.825,1.43297e-07
612,22045.9,1.233927e-07
613,22045.975,1.532373e-07
614,22046.05,1.704802e-07
615,22046.125,1.564964e-07
616,22046.2,1.700622e-07
617,22046.275,1.712033e-07
618,22046.35,1.840111e-07
619,22046.425,1.822513e-07
620,22046.5,2.054992e-07
621,22046.575,1.966293e-07
622,22046.65,2.281693e-07
623,22046.725,1.872448e-07
624,22046.8,1.820081e-07
625,22046.875,2.091282e-07
626,22046.95,2.444465e-07
627,22047.025,2.559256e-07
628,22047.1,2.654652e-07
629,22047.175,2.322689e-07
630,22047.25,2.305335e-07
631,22047.325,2.475023e-07
632,22047.4,2.985649e-07
633,22047.475,2.773042e-07
634,22047.55,3.080462e-07
635,22047.625,3.040935e-07
636,22047.7,3.111957e-07
637,22047.775,3.365604e-07
638,22047.85,3.534162e-07
639,22047.925,3.502319e-07
640,22048.0,3.130783e-07
641,22048.075,3.265366e-07
642,22048.15,3.289764e-07
643,22048.225,3.259442e-07
