,FREQUENCY,GAMMA
5412,22405.9,3.744022e-08
5413,22405.975,3.991768e-08
5414,22406.05,7.610386e-08
5415,22406.125,6.625587e-08
5416,22406.2,5.967558e-08
5417,22406.275,5.087976e-08
5418,22406.35,8.549811e-08
5419,22406.425,5.948762e-08
5420,22406.5,7.402326e-08
5421,22406.575,8.790164e-08
5422,22406.65,9.572284e-08
5423,22406.725,1.14814e-07
5424,22406.8,1.045347e-07
5425,22406.875,1.281912e-07
5426,22406.95,1.321407e-07
5427,22407.025,1.367265e-07
5428,22407.1,9.880196e-08
5429,22407.175,1.08866e-07
5430,22407.25,1.490793e-07
5431,22407.325,8.983492e-08
5432,22407.4,1.2358e-07
5433,22407.475,1.0746e-07
5434,22407.55,1.18008e-07
5435,22407.625,1.371796e-07
5436,22407.7,1.964879e-07
5437,22407.775,9.318525e-08
5438,22407.85,1.133353e-07
5439,22407.925,1.303765e-07
5440,22408.0,1.166942e-07
5441,22408.075,4.648949e-08
5442,22408.15,1.026851e-07
5443,22408.225,6.798139e-08
5444,22408.3,7.175483e-08
5445,22408.375,7.858973e-08
5446,22408.45,2.240077e-08
5447,22408.525,9.625385e-08
5448,22408.6,1.256457e-07
5449,22408.675,7.38482e-08
5450,22408.75,7.422994e-08
5451,22408.825,1.061843e-07
