,FREQUENCY,GAMMA
2936,22220.2,4.63888e-09
2937,22220.275,-5.050934e-08
2938,22220.35,-4.201647e-08
2939,22220.425,-9.79795e-08
2940,22220.5,-6.226927e-08
2941,22220.575,-4.952803e-08
2942,22220.65,-5.761283e-08
2943,22220.725,-9.183103e-08
2944,22220.8,-7.864873e-08
2945,22220.875,-7.11022e-08
2946,22220.95,-4.224117e-08
2947,22221.025,-5.489836e-08
2948,22221.1,-4.727307e-09
2949,22221.175,1.476899e-08
2950,22221.25,2.095507e-08
2951,22221.325,4.250139e-08
2952,22221.4,7.599136e-08
2953,22221.475,1.045751e-07
2954,22221.55,1.192212e-07
2955,22221.625,9.016563e-08
2956,22221.7,1.01956e-07
2957,22221.775,1.013533e-07
2958,22221.85,1.297197e-07
2959,22221.925,9.223083e-08
2960,22222.0,1.356051e-07
2961,22222.075,1.174905e-07
2962,22222.15,8.931536e-08
2963,22222.225,8.816126e-08
2964,22222.3,5.864029e-08
2965,22222.375,9.028848e-08
2966,22222.45,9.765266e-08
2967,22222.525,1.002249e-07
2968,22222.6,1.108725e-07
2969,22222.675,8.629789e-08
2970,22222.75,7.592879e-08
2971,22222.825,1.226694e-07
2972,22222.9,8.175193e-08
2973,22222.975,1.07047e-07
2974,22223.05,9.067578e-08
2975,22223.125,1.212041e-07
