,FREQUENCY,GAMMA
1341,22100.575,7.980271e-07
1342,22100.65,7.786355e-07
1343,22100.725,7.616957e-07
1344,22100.8,7.770847e-07
1345,22100.875,8.052358e-07
1346,22100.95,7.804901e-07
1347,22101.025,7.679395e-07
1348,22101.1,7.288476e-07
1349,22101.175,7.613402e-07
1350,22101.25,6.857107e-07
1351,22101.325,7.458259e-07
1352,22101.4,7.107563e-07
1353,22101.475,7.307826e-07
1354,22101.55,7.689138e-07
1355,22101.625,7.660228e-07
1356,22101.7,7.54017e-07
1357,22101.775,8.055297e-07
1358,22101.85,7.47223e-07
1359,22101.925,7.489492e-07
1360,22102.0,7.634097e-07
1361,22102.075,7.769042e-07
1362,22102.15,7.295649e-07
1363,22102.225,7.631026e-07
1364,22102.3,7.484584e-07
1365,22102.375,7.469284e-07
1366,22102.45,7.557704e-07
1367,22102.525,6.758091e-07
1368,22102.6,7.284617e-07
1369,22102.675,7.002887e-07
1370,22102.75,6.700148e-07
1371,22102.825,6.265809e-07
1372,22102.9,6.270469e-07
1373,22102.975,6.324232e-07
1374,22103.05,6.113698e-07
1375,22103.125,5.978498e-07
1376,22103.2,5.876721e-07
1377,22103.275,6.201537e-07
1378,22103.35,6.235991e-07
1379,22103.425,6.032424e-07
1380,22103.5,6.099595e-07
