,FREQUENCY,GAMMA
2144,22160.8,3.78164e-07
2145,22160.875,4.014405e-07
2146,22160.95,4.267929e-07
2147,22161.025,3.720912e-07
2148,22161.1,3.925692e-07
2149,22161.175,3.720177e-07
2150,22161.25,3.648181e-07
2151,22161.325,4.086093e-07
2152,22161.4,4.207792e-07
2153,22161.475,3.985184e-07
2154,22161.55,4.301909e-07
2155,22161.625,3.790968e-07
2156,22161.7,4.150886e-07
2157,22161.775,3.994329e-07
2158,22161.85,3.88267e-07
2159,22161.925,4.020858e-07
2160,22162.0,3.993097e-07
2161,22162.075,3.882577e-07
2162,22162.15,3.834986e-07
2163,22162.225,4.092226e-07
2164,22162.3,3.981551e-07
2165,22162.375,3.501258e-07
2166,22162.45,3.548774e-07
2167,22162.525,3.66468e-07
2168,22162.6,3.574542e-07
2169,22162.675,3.279172e-07
2170,22162.75,3.25459e-07
2171,22162.825,3.688449e-07
2172,22162.9,3.33834e-07
2173,22162.975,3.678502e-07
2174,22163.05,3.76409e-07
2175,22163.125,3.636552e-07
2176,22163.2,3.745316e-07
2177,22163.275,4.054428e-07
2178,22163.35,3.875228e-07
2179,22163.425,4.283417e-07
2180,22163.5,3.881736e-07
2181,22163.575,4.457406e-07
2182,22163.65,4.544075e-07
2183,22163.725,5.023349e-07
