,FREQUENCY,GAMMA
496,22037.2,2.488848e-07
497,22037.275,1.930017e-07
498,22037.35,1.274671e-07
499,22037.425,1.791881e-07
500,22037.5,1.980014e-07
501,22037.575,1.820961e-07
502,22037.65,1.727507e-07
503,22037.725,1.631296e-07
504,22037.8,1.609874e-07
505,22037.875,1.600595e-07
506,22037.95,1.611441e-07
507,22038.025,1.287563e-07
508,22038.1,1.725166e-07
509,22038.175,1.69333e-07
510,22038.25,1.72732e-07
511,22038.325,1.406004e-07
512,22038.4,1.531865e-07
513,22038.475,9.234257e-08
514,22038.55,1.378092e-07
515,22038.625,1.314351e-07
516,22038.7,1.289964e-07
517,22038.775,1.208976e-07
518,22038.85,8.558198e-08
519,22038.925,1.030565e-07
520,22039.0,4.845405e-08
521,22039.075,4.091077e-08
522,22039.15,5.230049e-08
523,22039.225,5.166444e-08
524,22039.3,1.570028e-08
525,22039.375,1.929935e-08
526,22039.45,-4.96072e-08
527,22039.525,-1.81181e-08
528,22039.6,-1.085079e-07
529,22039.675,-2.30513e-08
530,22039.75,-4.762135e-08
531,22039.825,-2.898928e-08
532,22039.9,-5.337605e-08
533,22039.975,-6.154876e-08
534,22040.05,-3.192803e-08
535,22040.125,-2.673867e-08
