,FREQUENCY,GAMMA
1119,22083.925,3.3327e-07
1120,22084.0,2.932332e-07
1121,22084.075,3.074875e-07
1122,22084.15,3.236468e-07
1123,22084.225,3.203874e-07
1124,22084.3,3.241406e-07
1125,22084.375,3.443321e-07
1126,22084.45,3.012175e-07
1127,22084.525,3.252946e-07
1128,22084.6,3.373893e-07
1129,22084.675,3.092728e-07
1130,22084.75,3.469465e-07
1131,22084.825,3.197294e-07
1132,22084.9,3.924294e-07
1133,22084.975,3.475172e-07
1134,22085.05,3.679842e-07
1135,22085.125,4.29367e-07
1136,22085.2,4.37084e-07
1137,22085.275,4.38998e-07
1138,22085.35,3.861708e-07
1139,22085.425,4.539175e-07
1140,22085.5,4.200917e-07
1141,22085.575,4.776943e-07
1142,22085.65,4.340624e-07
1143,22085.725,4.341679e-07
1144,22085.8,3.996555e-07
1145,22085.875,4.037166e-07
1146,22085.95,4.516729e-07
1147,22086.025,4.617894e-07
1148,22086.1,4.728134e-07
1149,22086.175,4.546903e-07
1150,22086.25,4.75646e-07
1151,22086.325,4.690478e-07
1152,22086.4,5.02246e-07
1153,22086.475,4.673253e-07
1154,22086.55,4.976778e-07
1155,22086.625,5.279295e-07
1156,22086.7,4.984406e-07
1157,22086.775,5.235502e-07
1158,22086.85,5.084153e-07
