,FREQUENCY,GAMMA
2341,22175.575,1.340957e-07
2342,22175.65,6.567877e-08
2343,22175.725,1.041897e-07
2344,22175.8,1.210922e-07
2345,22175.875,8.435994e-08
2346,22175.95,1.269131e-07
2347,22176.025,8.5064e-08
2348,22176.1,1.380137e-07
2349,22176.175,9.487958e-08
2350,22176.25,1.311935e-07
2351,22176.325,1.504368e-07
2352,22176.4,1.406701e-07
2353,22176.475,1.522472e-07
2354,22176.55,1.004194e-07
2355,22176.625,1.337641e-07
2356,22176.7,1.039458e-07
2357,22176.775,1.525645e-07
2358,22176.85,1.095801e-07
2359,22176.925,1.280246e-07
2360,22177.0,1.172895e-07
2361,22177.075,1.240634e-07
2362,22177.15,8.349831e-08
2363,22177.225,7.75784e-08
2364,22177.3,8.185307e-08
2365,22177.375,7.726122e-08
2366,22177.45,9.530435e-08
2367,22177.525,6.76566e-08
2368,22177.6,7.272837e-08
2369,22177.675,6.727044e-08
2370,22177.75,7.446178e-08
2371,22177.825,4.978641e-08
2372,22177.9,4.184254e-08
2373,22177.975,6.687137e-08
2374,22178.05,4.121875e-08
2375,22178.125,3.92991e-08
2376,22178.2,1.390097e-08
2377,22178.275,2.922481e-08
2378,22178.35,2.333718e-08
2379,22178.425,2.252223e-08
2380,22178.5,-7.868296e-09
