,FREQUENCY,GAMMA
1791,22134.325,4.013992e-07
1792,22134.4,3.148982e-07
1793,22134.475,3.542201e-07
1794,22134.55,3.642415e-07
1795,22134.625,3.286718e-07
1796,22134.7,3.312108e-07
1797,22134.775,3.635264e-07
1798,22134.85,3.213936e-07
1799,22134.925,3.57199e-07
1800,22135.0,4.060079e-07
1801,22135.075,4.197354e-07
1802,22135.15,4.040196e-07
1803,22135.225,4.228211e-07
1804,22135.3,4.864377e-07
1805,22135.375,4.428384e-07
1806,22135.45,4.68917e-07
1807,22135.525,4.704494e-07
1808,22135.6,4.705687e-07
1809,22135.675,4.734575e-07
1810,22135.75,4.411911e-07
1811,22135.825,4.1577e-07
1812,22135.9,4.2842e-07
1813,22135.975,4.103241e-07
1814,22136.05,3.445958e-07
1815,22136.125,3.272026e-07
1816,22136.2,2.617497e-07
1817,22136.275,2.281951e-07
1818,22136.35,1.43436e-07
1819,22136.425,1.64145e-07
1820,22136.5,1.032757e-07
1821,22136.575,6.585694e-08
1822,22136.65,8.268191e-08
1823,22136.725,3.592894e-08
1824,22136.8,7.422839e-08
1825,22136.875,1.368279e-08
1826,22136.95,1.819092e-08
1827,22137.025,4.016285e-08
1828,22137.1,7.599215e-08
1829,22137.175,6.704182e-08
1830,22137.25,1.262031e-07
