,FREQUENCY,GAMMA
1455,22109.125,1.729393e-07
1456,22109.2,1.968371e-07
1457,22109.275,1.6217e-07
1458,22109.35,1.951119e-07
1459,22109.425,1.795725e-07
1460,22109.5,1.617207e-07
1461,22109.575,1.894033e-07
1462,22109.65,1.788881e-07
1463,22109.725,1.211039e-07
1464,22109.8,1.229013e-07
1465,22109.875,1.287026e-07
1466,22109.95,2.093928e-07
1467,22110.025,1.364146e-07
1468,22110.1,1.548022e-07
1469,22110.175,1.72577e-07
1470,22110.25,1.057496e-07
1471,22110.325,1.343478e-07
1472,22110.4,1.707289e-07
1473,22110.475,1.364772e-07
1474,22110.55,1.4056e-07
1475,22110.625,1.268751e-07
1476,22110.7,1.142115e-07
1477,22110.775,1.113626e-07
1478,22110.85,9.83187e-08
1479,22110.925,7.23089e-08
1480,22111.0,5.163571e-08
1481,22111.075,6.255354e-08
1482,22111.15,5.360964e-08
1483,22111.225,5.765991e-08
1484,22111.3,3.544648e-08
1485,22111.375,3.843299e-08
1486,22111.45,3.5561e-08
1487,22111.525,3.883371e-08
1488,22111.6,8.988192e-08
1489,22111.675,9.141324e-08
1490,22111.75,1.009625e-07
1491,22111.825,9.468387e-08
1492,22111.9,1.407624e-07
1493,22111.975,1.024378e-07
1494,22112.05,1.279286e-07
