,FREQUENCY,GAMMA
1608,22120.6,1.948247e-07
1609,22120.675,1.914772e-07
1610,22120.75,2.070853e-07
1611,22120.825,2.06478e-07
1612,22120.9,1.691829e-07
1613,22120.975,1.767573e-07
1614,22121.05,1.714348e-07
1615,22121.125,1.99673e-07
1616,22121.2,1.743634e-07
1617,22121.275,1.924622e-07
1618,22121.35,1.654133e-07
1619,22121.425,1.695577e-07
1620,22121.5,2.308148e-07
1621,22121.575,2.082247e-07
1622,22121.65,1.940673e-07
1623,22121.725,1.869513e-07
1624,22121.8,1.860331e-07
1625,22121.875,1.63658e-07
1626,22121.95,1.698418e-07
1627,22122.025,2.005565e-07
1628,22122.1,1.917664e-07
1629,22122.175,1.849233e-07
1630,22122.25,2.463904e-07
1631,22122.325,1.927955e-07
1632,22122.4,2.277472e-07
1633,22122.475,2.170252e-07
1634,22122.55,2.53071e-07
1635,22122.625,2.476998e-07
1636,22122.7,2.114467e-07
1637,22122.775,2.480311e-07
1638,22122.85,2.573043e-07
1639,22122.925,2.468341e-07
1640,22123.0,2.494053e-07
1641,22123.075,2.75917e-07
1642,22123.15,2.36886e-07
1643,22123.225,2.888348e-07
1644,22123.3,2.623948e-07
1645,22123.375,2.685782e-07
1646,22123.45,3.140484e-07
1647,22123.525,2.656578e-07
