,FREQUENCY,GAMMA
1400,22105.0,5.582243e-07
1401,22105.075,5.722861e-07
1402,22105.15,5.731475e-07
1403,22105.225,5.711651e-07
1404,22105.3,5.693641e-07
1405,22105.375,5.197552e-07
1406,22105.45,5.458266e-07
1407,22105.525,4.91408e-07
1408,22105.6,5.208625e-07
1409,22105.675,4.791831e-07
1410,22105.75,5.174686e-07
1411,22105.825,4.821035e-07
1412,22105.9,4.420905e-07
1413,22105.975,4.70207e-07
1414,22106.05,4.616433e-07
1415,22106.125,4.52359e-07
1416,22106.2,3.923185e-07
1417,22106.275,4.477492e-07
1418,22106.35,4.011816e-07
1419,22106.425,4.035914e-07
1420,22106.5,3.890808e-07
1421,22106.575,3.372854e-07
1422,22106.65,3.135195e-07
1423,22106.725,3.782644e-07
1424,22106.8,3.446648e-07
1425,22106.875,3.158636e-07
1426,22106.95,3.211719e-07
1427,22107.025,3.29698e-07
1428,22107.1,2.976113e-07
1429,22107.175,3.070734e-07
1430,22107.25,2.905454e-07
1431,22107.325,2.929246e-07
1432,22107.4,2.709402e-07
1433,22107.475,2.766127e-07
1434,22107.55,3.420701e-07
1435,22107.625,3.053924e-07
1436,22107.7,2.806905e-07
1437,22107.775,2.650217e-07
1438,22107.85,2.736883e-07
1439,22107.925,2.734696e-07
